LOINC,va_path,phs_path,common root,diff level
10374-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP14570-3.LP393413-2,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
10378-8,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0.LP14574-5.LP393447-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,2
10380-4,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP14576-0.LP393430-6,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
10381-2,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP14577-8.LP393431-4,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
10381-2,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP14577-8.LP393431-4,LP29693-6.LP7803-2.LP30786-5.LP16873-9,3
10535-3,LP29693-6.LP7791-9.LP31424-2.LP31498-6,LP29693-6.LP7790-1.LP18046-0.LP31424-2.LP31498-6.LP14714-7.LP389307-2,LP29693-6,6
10998-3,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4.LP390102-4,LP29693-6,6
11158-3,LP29693-6.LP7846-1,LP29693-6.LP7846-1.LP14542-2.LP404151-5,LP29693-6.LP7846-1,2
11274-8,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5.LP393408-2,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
11555-0,LP29693-6.LP343631-0.LP7786-9.LP31400-2,LP29693-6.LP343631-0.LP7786-9.LP31400-2.LP15429-1.LP383304-5,LP29693-6.LP343631-0.LP7786-9.LP31400-2,2
11556-8,LP7787-7.LP7840-4,LP29693-6.LP343631-0.LP7786-9.LP31400-2.LP14536-4.LP383360-7,,0
11558-4,LP29693-6.LP7851-1.LP40317-7,LP29693-6.LP343631-0.LP7786-9.LP31400-2.LP14752-7.LP383431-6,LP29693-6,5
12382-8,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1.LP14551-3.LP391748-3,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1,2
13327-2,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP18337-3.LP39276-8.LP378823-1,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8,3
13440-3,LP7787-7.LP248771-0,LP29693-6.LP343631-0.LP7786-9.LP31418-4.LP21032-5.LP386676-3,,0
13964-2,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP15735-1.LP385117-9,LP29693-6.LP343631-0.LP7786-9.LP31395-4,2
13965-9,LP29693-6.LP343631-0.LP7786-9.LP31415-0,LP29693-6.LP343631-0.LP7786-9.LP31415-0.LP14977-0.LP386295-2,LP29693-6.LP343631-0.LP7786-9.LP31415-0,2
14334-7,LP29693-6.LP7791-9.LP31449-9.LP31474-7,LP29693-6.LP7790-1.LP18046-0.LP31449-9.LP31474-7.LP16175-9.LP390984-5,LP29693-6,6
15061-5,LP29693-6.LP343631-0.LP7786-9.LP15838-3,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP15554-6.LP384569-2,LP29693-6.LP343631-0.LP7786-9.LP15838-3,2
15069-8,LP29693-6.LP343631-0.LP7786-9.LP31399-6,LP29693-6.LP343631-0.LP7786-9.LP31399-6.LP15578-5.LP385500-6,LP29693-6.LP343631-0.LP7786-9.LP31399-6,2
16196-8,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15174-3.LP390032-3,LP29693-6,6
16197-6,LP29693-6.LP7756-2.LP30682-6,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16093-4.LP389854-3,LP29693-6,6
16201-6,LP29693-6.LP7791-9.LP30812-9,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP16227-8.LP391878-8,LP29693-6,5
16228-9,LP29693-6.LP7791-9.LP30812-9,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP16104-9.LP391863-0,LP29693-6,5
16249-5,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4.LP390102-4,LP29693-6,6
16251-1,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15174-3.LP390032-3,LP29693-6,6
1649-3,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31696-5.LP15277-4.LP385194-8,LP29693-6.LP343631-0.LP7786-9.LP31395-4,3
17395-5,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15176-8.LP390128-9,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2,2
1763-2,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP31653-6,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31653-6.LP14377-3.LP381044-9,LP29693-6.LP343631-0.LP31396-2.LP31653-6,3
1834-1,LP29693-6.LP343631-0.LP7786-9.LP31418-4.LP36654-9,LP29693-6.LP343631-0.LP7786-9.LP31418-4.LP36654-9.LP14331-0.LP384631-0,LP29693-6.LP343631-0.LP7786-9.LP31418-4.LP36654-9,2
1952-1,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9.LP31519-9,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9.LP31519-9.LP14907-7.LP384701-1,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9.LP31519-9,2
1989-3,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31696-5.LP64575-1.LP15455-6.LP385191-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4,4
2039-6,LP29693-6.LP7839-6.LP57347-4,LP29693-6.LP343631-0.LP7786-9.LP31412-7.LP14650-3.LP28643-2.LP386113-7,LP29693-6,6
2064-4,LP29693-6.LP343631-0.LP7786-9.LP15838-3,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP15479-6.LP384552-8,LP29693-6.LP343631-0.LP7786-9.LP15838-3,2
2141-0,LP29693-6.LP7756-2.LP30682-6,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31660-1.LP14656-0.LP381359-1,LP29693-6,6
2143-6,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP31653-6,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31653-6.LP14161-1.LP381061-3,LP29693-6.LP343631-0.LP31396-2.LP31653-6,3
2164-2,LP29693-6.LP343631-0.LP7786-9.LP31398-8.LP14355-9,LP29693-6.LP343631-0.LP7786-9.LP31398-8.LP14355-9.LP29651-4.LP29650-6.LP385366-2,LP29693-6.LP343631-0.LP7786-9.LP31398-8.LP14355-9,3
2236-8,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31696-5.LP64575-1.LP15553-8.LP385192-2,LP29693-6.LP343631-0.LP7786-9.LP31395-4,4
2243-4,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP14661-0,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP14661-0.LP14497-9.LP381268-4,LP29693-6.LP343631-0.LP31396-2.LP14661-0,3
2407-5,LP29693-6.LP343631-0.LP7786-9.LP14913-5,LP29693-6.LP343631-0.LP7786-9.LP14913-5.LP14489-6.LP386455-2,LP29693-6.LP343631-0.LP7786-9.LP14913-5,2
24462-4,LP29693-6.LP343631-0.LP7786-9.LP14913-5,LP29693-6.LP343631-0.LP7786-9.LP14913-5.LP14489-6.LP386455-2,LP29693-6.LP343631-0.LP7786-9.LP14913-5,2
2458-8,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14669-3.LP384793-8,LP29693-6,6
2465-3,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP384832-4,LP29693-6,6
2466-1,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP15657-7.LP384834-0,LP29693-6,7
2467-9,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP15658-5.LP384835-7,LP29693-6,7
2468-7,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP15659-3.LP384836-5,LP29693-6,7
2469-5,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP15660-1.LP384837-3,LP29693-6,7
2472-9,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14674-3.LP384862-1,LP29693-6,6
25145-4,LP29693-6.LP7851-1.LP14738-6,LP29693-6.LP7851-1.LP14738-6.LP14082-9.LP402462-8,LP29693-6.LP7851-1.LP14738-6,2
2529-6,LP29693-6.LP343631-0.LP7786-9.LP31392-1,LP29693-6.LP343631-0.LP7786-9.LP31392-1.LP15033-1.LP383074-4,LP29693-6.LP343631-0.LP7786-9.LP31392-1,2
2532-0,LP29693-6.LP343631-0.LP7786-9.LP31392-1,LP29693-6.LP343631-0.LP7786-9.LP31392-1.LP15033-1.LP383084-3,LP29693-6.LP343631-0.LP7786-9.LP31392-1,2
25700-6,LP7787-7.LP248771-0,LP29693-6.LP343631-0.LP7786-9.LP31418-4.LP21032-5.LP386675-5,,0
2692-2,LP29693-6.LP343631-0.LP7784-4.LP31410-1,LP29693-6.LP343631-0.LP7786-9.LP31410-1.LP15272-5.LP385919-8,LP29693-6.LP343631-0.LP31410-1,3
2695-5,LP29693-6.LP343631-0.LP7784-4.LP31410-1,LP29693-6.LP343631-0.LP7786-9.LP31410-1.LP15272-5.LP385922-2,LP29693-6.LP343631-0.LP31410-1,3
2713-6,LP7787-7.LP30605-7.LP29712-4.LP7805-7,LP29693-6.LP343631-0.LP7786-9.LP31400-2.LP14536-4.LP21258-6.LP383399-5,,0
27382-1,LP29693-6.LP343631-0.LP7786-9.LP14913-5,LP29693-6.LP343631-0.LP7786-9.LP14913-5.LP14481-3.LP386503-9,LP29693-6.LP343631-0.LP7786-9.LP14913-5,2
2777-1,LP29693-6.LP343631-0.LP7786-9.LP31413-5,LP29693-6.LP343631-0.LP7786-9.LP31413-5.LP14912-7.LP386057-6,LP29693-6.LP343631-0.LP7786-9.LP31413-5,2
28073-5,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1.LP16086-8,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1.LP16086-8.LP28541-8.LP391656-8,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1.LP16086-8,2
2842-3,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP31660-1,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31660-1.LP14688-3.LP381387-2,LP29693-6.LP343631-0.LP31396-2.LP31660-1,3
2915-7,LP29693-6.LP343631-0.LP7784-4.LP31392-1,LP29693-6.LP343631-0.LP7786-9.LP31392-1.LP15273-3.LP383227-8,LP29693-6.LP343631-0.LP31392-1,3
2923-1,LP29693-6.LP343631-0.LP7784-4.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31687-4.LP15274-1.LP385105-4,LP29693-6.LP343631-0.LP31395-4,4
2998-3,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31703-9,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31703-9.LP31688-2.LP15886-2.LP385126-0,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31703-9,3
3013-0,LP29693-6.LP7844-6.LP32938-0,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31666-8.LP14697-4.LP381503-4,LP29693-6,6
3034-6,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9.LP15907-6.LP384716-9,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9,2
30471-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP28566-5.LP390796-3,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7,2
3050-2,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP31666-8.LP15922-5,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31666-8.LP15922-5.LP15921-7.LP381528-1,LP29693-6.LP343631-0.LP31396-2.LP31666-8.LP15922-5,3
3167-4,LP29693-6.LP7846-1,LP29693-6.LP7846-1.LP19577-3.LP404292-7,LP29693-6.LP7846-1,2
3184-9,LP29693-6.LP7788-5.LP31624-7,LP29693-6.LP7788-5.LP31624-7.LP15959-7.LP207644-8.LP393980-0,LP29693-6.LP7788-5.LP31624-7,3
3243-3,LP29693-6.LP7798-4.LP32817-6.LP32762-4,LP29693-6.LP7788-5.LP31624-7.LP15984-5.LP394070-9,LP29693-6,4
3255-7,LP29693-6.LP7788-5.LP31624-7,LP29693-6.LP7788-5.LP31624-7.LP14704-8.LP394019-6,LP29693-6.LP7788-5.LP31624-7,2
3298-7,LP29693-6.LP7756-2.LP30682-6,LP29693-6.LP7790-1.LP18046-0.LP37950-0.LP14712-1.LP388579-7,LP29693-6,5
33959-8,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP14649-5,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP14649-5.LP31682-5.LP381196-7,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP14649-5,2
3414-0,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16054-6.LP389832-9,LP29693-6,6
3432-2,LP29693-6.LP7791-9.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP16061-1.LP390763-3,LP29693-6,6
35365-6,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31696-5.LP33184-0.LP385198-9,LP29693-6.LP343631-0.LP7786-9.LP31395-4,3
3665-7,LP29693-6.LP7756-2.LP30682-6,LP29693-6.LP7790-1.LP18046-0.LP31450-7.LP31426-7.LP15747-6.LP388969-0,LP29693-6,6
3746-5,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16184-1.LP389968-1,LP29693-6,6
3948-7,LP29693-6.LP7791-9.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP14546-3.LP14729-5.LP390728-6,LP29693-6,7
3968-5,LP29693-6.LP7791-9.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP14732-9.LP390830-0,LP29693-6,6
4073-3,LP29693-6.LP7791-9.LP31449-9.LP18893-5,LP29693-6.LP7790-1.LP18046-0.LP31449-9.LP18893-5.LP14735-2.LP391137-9,LP29693-6,6
4086-5,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP16305-2.LP390867-2,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7,2
4092-3,LP29693-6.LP7791-9.LP31450-7.LP31426-7,LP29693-6.LP7790-1.LP18046-0.LP31450-7.LP31426-7.LP16306-0.LP389062-3,LP29693-6,6
4485-9,LP29693-6.LP7803-2.LP16404-3,LP29693-6.LP7803-2.LP16404-3.LP16359-9.LP393725-9,LP29693-6.LP7803-2.LP16404-3,2
4498-2,LP29693-6.LP7803-2.LP16404-3,LP29693-6.LP7803-2.LP16404-3.LP16371-4.LP393745-7,LP29693-6.LP7803-2.LP16404-3,2
4542-7,LP29693-6.LP7803-2.LP30786-5.LP30925-9,LP29693-6.LP7803-2.LP30786-5.LP30925-9.LP16411-8.LP393679-8,LP29693-6.LP7803-2.LP30786-5.LP30925-9,2
48792-6,LP29693-6.LP343631-0.LP7786-9.LP31397-0,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP64094-3.LP63141-3.LP385326-6,LP29693-6.LP343631-0.LP7786-9.LP31397-0,3
48793-4,LP29693-6.LP343631-0.LP7786-9.LP31397-0,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP64094-3.LP63142-1.LP385327-4,LP29693-6.LP343631-0.LP7786-9.LP31397-0,3
48795-9,LP29693-6.LP343631-0.LP7786-9.LP31397-0,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP193274-0.LP385333-2,LP29693-6.LP343631-0.LP7786-9.LP31397-0,2
49752-9,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16054-6.LP389832-9,LP29693-6,6
5358-7,LP29693-6.LP7844-6.LP32938-0.LP16762-4,LP29693-6.LP7844-6.LP32938-0.LP16762-4.LP39761-9.LP404042-6,LP29693-6.LP7844-6.LP32938-0.LP16762-4,2
5781-0,LP29693-6.LP7851-1,LP29693-6.LP7803-2.LP30865-7.LP16849-9.LP393799-4,LP29693-6,4
5783-6,LP29693-6.LP7851-1,LP29693-6.LP7851-1.LP16849-9.LP16850-7.LP402418-0,LP29693-6.LP7851-1,3
5834-7,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP17999-1,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP17999-1.LP14061-3.LP36981-6.LP377064-3,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP17999-1,3
58424-3,LP29693-6.LP7790-1.LP18046-0.LP31449-9,LP29693-6.LP7790-1.LP34869-5.LP99250-0.LP391966-1,LP29693-6.LP7790-1,3
5902-2,LP29693-6.LP7798-4.LP32817-6.LP32762-4,LP29693-6.LP7788-5.LP31624-7.LP16870-5.LP394044-4,LP29693-6,4
61425-5,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4.LP102595-8.LP390115-6,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4,2
64084-7,LP29693-6.LP7844-6,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP220260-6.LP265737-9.LP375468-8,LP29693-6,7
6742-1,LP29693-6.LP7803-2.LP30786-5.LP16873-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP99295-5.LP393394-4,LP29693-6.LP7803-2.LP30786-5.LP16873-9,2
6864-3,LP29693-6.LP7803-2.LP30786-5.LP31618-9,LP29693-6.LP7803-2.LP30786-5.LP31618-9.LP16455-5.LP393656-6,LP29693-6.LP7803-2.LP30786-5.LP31618-9,2
702-1,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17274-9.LP393399-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
703-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP64195-8,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP64195-8.LP17278-0.LP393384-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP64195-8,2
71774-4,LP29693-6.LP7844-6,LP29693-6.LP343406-7.LP7819-8.LP30609-9.LP18171-6.LP35076-6.LP379744-8,LP29693-6,6
72526-7,LP29693-6.LP343406-7.LP7755-4.LP31423-4,LP29693-6.LP343406-7.LP7755-4.LP31423-4.LP157318-9.LP380330-3,LP29693-6.LP343406-7.LP7755-4.LP31423-4,2
728-6,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0.LP17388-7.LP393445-4,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,2
72857-6,LP29693-6.LP343406-7.LP7755-4.LP31423-4,LP29693-6.LP343406-7.LP7755-4.LP31423-4.LP157327-0.LP380326-1,LP29693-6.LP343406-7.LP7755-4.LP31423-4,2
738-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7.LP17441-4.LP393434-8,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,2
741-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7.LP17463-8.LP393436-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,2
774-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5.LP17644-3.LP393409-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5,2
7789-1,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17674-0.LP393397-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
779-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP30906-9.LP393417-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
7790-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17676-5.LP393403-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
800-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17715-1.LP393421-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
802-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17717-7.LP393427-2,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
8099-4,LP29693-6.LP7844-6.LP32938-0.LP32941-4.LP17727-6,LP29693-6.LP7844-6.LP32938-0.LP32941-4.LP17727-6.LP40001-7.LP404049-1,LP29693-6.LP7844-6.LP32938-0.LP32941-4.LP17727-6,2
8310-5,LP7787-7.LP7840-4,LP7787-7.LP30605-7.LP29701-7.LP7771-1.LP65487-8.LP416017-4,LP7787-7,5
9335-1,LP29693-6.LP7846-1,LP29693-6.LP7846-1.LP14542-2.LP404133-3,LP29693-6.LP7846-1,2
